code,component_type,component_id,coefficient
3.10.5.2,material,48,0.86
3.10.5.2,material,88,0.028
3.10.5.2,material,93,0.15
3.10.5.2,material,348,0.56
3.10.5.3,material,96,0.1
3.10.5.3,material,171,0.15
3.10.5.3,material,350,0.007
3.10.5.4,material,66,0.05
3.10.5.4,material,373,0.4
3.10.5.5,material,53,0.012
3.10.5.5,material,374,1.5
3.10.5.5,material,375,0.014
3.10.5.5,material,376,0.003
3.10.5.6,material,133,8.0
3.10.5.6,material,343,1.1
3.10.5.6,material,377,9.667
3.10.5.6,material,378,0.38
3.10.5.7,material,15,12.44
3.10.5.7,material,90,4.0
3.10.5.7,material,122,0.025
3.10.5.7,material,154,0.65
3.10.5.7,material,343,1.1
3.10.6.1,material,86,4.0
3.10.6.1,material,124,0.05
3.10.6.1,material,227,4.0
3.10.6.2,material,379,0.028
3.10.6.2,material,380,0.15
3.10.6.3,material,86,10.0
3.10.6.3,material,124,0.05
3.10.6.3,material,381,5.37
3.11.1.1,material,382,1.0
3.11.1.10,material,205,0.064
3.11.1.10,material,348,0.5
3.11.1.11,material,205,0.04
3.11.1.11,material,348,0.5
3.11.1.12,material,48,1.0
3.11.1.12,material,153,0.03
3.11.1.12,material,205,0.025
3.11.1.12,material,348,0.5
3.11.1.13,material,48,1.0
3.11.1.13,material,153,0.03
3.11.1.13,material,205,0.0256
3.11.1.13,material,348,0.5
3.11.1.14,material,389,1.0
3.11.1.15,material,124,0.05
3.11.1.15,material,128,32.0
3.11.1.15,material,390,15.0
3.11.1.16,material,391,1.0
3.11.1.17,material,348,0.5
3.11.1.17,material,392,1.0
3.11.1.17,material,393,2.0
3.11.1.18,material,394,1.0
3.11.1.19,material,395,1.0
3.11.1.2,material,383,1.0
3.11.1.3,material,384,1.0
3.11.1.4,material,385,4.4
3.11.1.4,material,386,14.6
3.11.1.5,material,192,0.27
3.11.1.5,material,387,4.4
3.11.1.5,material,388,1.1
3.11.1.6,material,192,0.27
3.11.1.6,material,387,4.4
3.11.1.6,material,388,1.1
3.11.1.7,material,66,0.05
3.11.1.7,material,205,0.04
3.11.1.8,material,106,0.04
3.11.1.8,material,380,0.05
3.11.1.9,material,205,0.024
3.11.1.9,material,348,0.3
3.11.2.1,material,396,1.1
3.11.2.1,material,397,10.0
3.11.2.2,material,396,1.1
3.11.2.2,material,397,10.0
3.11.2.2,material,398,7.0
3.11.2.3,material,399,1.1
3.11.2.4,material,399,1.0
3.11.3.1,material,192,0.06
3.11.3.1,material,385,1.1
3.11.3.1,material,400,2.0
3.11.3.2,material,90,0.1276
3.11.3.2,material,91,0.0086
3.11.3.2,material,348,1.0
3.11.3.3,material,90,0.1276
3.11.3.3,material,348,1.0
3.11.3.3,material,401,0.0108
3.11.3.4,material,88,0.0086
3.11.3.4,material,90,0.1276
3.11.3.4,material,348,1.0
3.11.3.5,material,90,0.1276
3.11.3.5,material,348,1.0
3.11.3.5,material,402,0.0108
3.11.3.6,material,153,0.15
3.11.3.6,material,205,0.06
3.11.3.7,material,403,1.0
3.11.3.8,material,404,1.0
3.11.4.1,material,405,1.0
3.11.4.10,material,414,1.0
3.11.4.11,material,415,1.0
3.11.4.12,material,416,1.0
3.11.4.13,material,124,0.038
3.11.4.13,material,417,1.1
3.11.4.13,material,418,4.667
