;NO;URAIAN PEKERJAAN;SATUAN;HARGA SATUAN;KETERANGAN;;;
;6.5.10.2;"Pemasangan 1 buah Pressure Gauge (16, 25, 40) K + Gate Valve, Dia 1"" ( 25 mm)";buah; Rp2.234.782,00 ;0;0;;
;6.5.10.3;"Pemasangan 1 buah Pressure Gauge (16, 25) K + Gate Valve, Dia. 2 "" (50 mm)";buah; Rp2.788.989,00 ;0;0;;
;6.5.10.4;"Pemasangan 1 buah Pressure Gauge + Gate Valve, Dia. 3 "" (80 mm)";buah; Rp3.459.346,00 ;0;0;;
;6.5.10.5;"Pemasangan 1 buah Pressure Gauge 16 K + Gate Vave, Dia. 4"" (100 mm)";buah; Rp3.871.730,00 ;0;0;;
;6.5.10.9;"Pemasangan 1 buah Pressure Gauge 25 K +Gate Valve, Dia. 4"" (100 mm)";buah; Rp3.804.779,00 ;0;0;;
;6.5.10.10;"Pemasangan 1 buah Pressure Gauge 25 K + Gate Valve, Dia. 3"" (80 mm)";buah; Rp3.526.297,00 ;0;0;;
;6.5.11;Water Meter;; Rp- ;0;0;;
;6.5.11.1;"Pemasangan 1 buah Water Meter, Dia. 1/2"" (15 mm)";buah; Rp364.487,00 ;0;0;;
;6.5.11.2;"Pemasangan 1 buah Water Meter, Dia. 3/4"" (20 mm)";buah; Rp862.698,00 ;0;0;;
;6.5.11.3;"Pemasangan 1 buah Water Meter, Dia 1"" ( 25 mm)";buah; Rp1.836.087,00 ;0;0;;
;6.5.11.4;"Pemasangan 1 buah Water Meter, Dia 1-1/2"" ( 40 mm)";buah; Rp2.267.683,00 ;0;0;;
;6.5.11.5;"Pemasangan 1 buah Water Meter, Dia. 2 "" (50 mm)";buah; Rp3.112.774,00 ;0;0;;
;6.5.11.6;"Pemasangan 1 buah Water Meter, Dia. 3 "" (80 mm)";buah; Rp4.058.824,00 ;0;0;;
;6.5.11.7;"Pemasangan 1 buah Water Meter, Dia. 4"" (100 mm)";buah; Rp4.526.175,00 ;0;0;;
;6.5.11.8;"Pemasangan 1 buah Water Meter, Dia. 6"" (150 mm)";buah; Rp5.460.042,00 ;0;0;;
;6.5.11.9;"Pemasangan 1 buah Water Meter, Dia. 8"" (200 mm)";buah; Rp6.172.523,00 ;0;0;;
;6.5.11.10;"Pemasangan 1 buah Water Meter, Dia. 10"" (250 mm)";buah; Rp6.710.500,00 ;0;0;;
;6.5.11.11;"Pemasangan 1 buah Water Meter, Dia. 12"" (300 mm)";buah; Rp7.311.843,00 ;0;0;;
;6.5.11.12;"Pemasangan 1 buah Water Meter, Dia. 16"" (400 mm)";buah; Rp7.731.988,00 ;0;0;;
;6.5.11.13;"Pemasangan 1 buah Flow Meter Analog 10 K, Dia. 4"" (100 mm)";buah; Rp3.766.845,00 ;0;0;;
;6.5.12.;Clean Out ;; Rp- ;0;0;;
;6.5.12.1;"Pemasangan 1 buah Clean Out, Dia. 2"" (50 mm)";buah; Rp97.036,00 ;0;0;;
;6.5.12.2;"Pemasangan 1 buah Clean Out, Dia. 2-1/2"" (65 mm)";buah; Rp117.018,00 ;0;0;;
;6.5.12.3;"Pemasangan 1 buah Clean Out, Dia. 3"" (80 mm)";buah; Rp155.534,00 ;0;0;;
;6.5.12.4;"Pemasangan 1 buah Clean Out, Dia. 4"" (100 mm)";buah; Rp190.173,00 ;0;0;;
;6.5.12.5;"Pemasangan 1 buah Clean Out, Dia. 5"" (125 mm)";buah; Rp344.322,00 ;0;0;;
;6.5.12.6;"Pemasangan 1 buah Clean Out, Dia. 6"" (150 mm)";buah; Rp433.051,00 ;0;0;;
;6.5.12.7;"Pemasangan 1 buah Clean Out, Dia. 8"" (200 mm)";buah; Rp652.437,00 ;0;0;;
;6.5.13 ;Roof Drain ;; Rp- ;0;0;;
;6.5.13.1;"Pemasangan 1 buahRoof Drain, Dia. 2"" (50 mm)";buah; Rp98.967,00 ;0;0;;
;6.5.13.2;"Pemasangan 1 buahRoof Drain, Dia. 2-1/2"" (65 mm)";buah; Rp119.334,00 ;0;0;;
;6.5.13.3;"Pemasangan 1 buahRoof Drain, Dia. 3"" (80 mm)";buah; Rp138.714,00 ;0;0;;
;6.5.13.4;"Pemasangan 1 buahRoof Drain, Dia. 4"" (100 mm)";buah; Rp168.071,00 ;0;0;;
;6.5.13.5;"Pemasangan 1 buahRoof Drain, Dia. 5"" (125 mm)";buah; Rp215.352,00 ;0;0;;
;6.5.13.6;"Pemasangan 1 buahRoof Drain, Dia. 6"" (150 mm)";buah; Rp257.400,00 ;0;0; ` ;
;6.5.13.7;"Pemasangan 1 buahRoof Drain, Dia. 8"" (200 mm)";buah; Rp355.044,00 ;0;0;;
;6.5.13.8;"Pemasangan 1 buahRoof Drain, Dia. 10"" (200 mm)";buah; Rp484.500,00 ;0;0;;
;6.5.13.9;"Pemasangan 1 buahRoof Drain, Dia. 12"" (300 mm)";buah; Rp576.009,00 ;0;0;;
;6.5.14 ;Floor Clean Out (fCO);; Rp- ;0;0;;
;6.5.14.1;"Pemasangan 1 buah Floor Clean Out, Dia. 2"" (50 mm)";buah; Rp231.044,00 ;0;0;;
;6.5.14.2;"Pemasangan 1 buah Floor Clean Out, Dia. 2-1/2"" (65 mm)";buah; Rp296.950,00 ;0;0;;
;6.5.14.3;"Pemasangan 1 buah Floor Clean Out, Dia. 3"" (80 mm)";buah; Rp361.636,00 ;0;0;;
;6.5.14.4;"Pemasangan 1 buah Floor Clean Out, Dia. 4"" (100 mm)";buah; Rp525.640,00 ;0;0;;
;6.5.14.5;"Pemasangan 1 buah Floor Clean Out, Dia. 6"" (150 mm)";buah; Rp744.700,00 ;0;0;;
;6.5.14.6;"Pemasangan 1 buah Floor Clean Out, Dia. 8"" (200 mm)";buah; Rp928.900,00 ;0;0;;
;6.5.15;Vent Cap ;; Rp- ;0;0;;
;6.5.15.1;"Pemasangan 1 buah Vent Cap, Dia 2"" (50 mm)";buah; Rp94.011,00 ;0;0;;
;6.5.15.2;"Pemasangan 1 buah Vent Cap, Dia 3"" (80 mm)";buah; Rp155.534,00 ;0;0;;
;6.5.15.3;"Pemasangan 1 buah Vent Cap, Dia 4"" (100 mm)";buah; Rp201.228,00 ;0;0;;
;6.5.16;Pressure Recude Velve (PRV);; Rp- ;0;0;;
;6.5.16.1;"Pemasangan 1 buah PRV, Dia 2"" (50 mm)";buah; Rp6.417.202,00 ;0;0;;
;6.5.16.2;"Pemasangan 1 buah PRV, Dia 2-1/2"" (65 mm)";buah; Rp7.034.544,00 ;0;0;;
;6.5.16.3;"Pemasangan 1 buah PRV Dia 3"" (80 mm)";buah; Rp11.045.562,00 ;0;0;;
;6.5.16.4;"Pemasangan 1 buah PRV Dia 4"" (100 mm)";buah; Rp12.512.054,00 ;0;0;;
;6.5.16.5;"Pemasangan 1 buah PRV Dia 6"" (150 mm)";buah; Rp13.416.645,00 ;0;0;;
;6.5.16.6;"Pemasangan 1 buah PRV Dia 8"" (200 mm)";buah; Rp14.337.031,00 ;0;0;;
;6.5.17 ;Automatic Air Vent (AAV);; Rp- ;0;0;;
;6.5.17.1;"Pemasangan 1 buah Automatic Air Vent, Dia. 1/2"" (15 mm)";buah; Rp326.260,00 ;0;0;;
;6.5.17.2;"Pemasangan 1 buah Automatic Air Vent, Dia. 1"" (25 mm)";buah; Rp1.095.270,00 ;0;0;;
;6.5.17.3;"Pemasangan 1 buah Automatic Air Vent, Dia. 2"" (50 mm)";buah; Rp1.367.811,00 ;0;0;;
;6.5.17.4;"Pemasangan 1 buah Automatic Air Vent, Dia. 3"" (80 mm)";buah; Rp1.633.846,00 ;0;0;;
;6.5.17.5;"Pemasangan 1 buah Automatic Air Vent, Dia. 4"" (100 mm)";buah; Rp1.913.928,00 ;0;0;;
;6.5.17.6;"Pemasangan 1 buah Automatic Air Vent, Dia. 6"" (150 mm)";buah; Rp2.244.192,00 ;0;0;;
;6.5.18;Vent Out ;; Rp- ;0;0;;
;6.5.18.1;"Pemasangan 1 buah Vent Out, Dia. 2"" (50 mm)";buah; Rp333.811,00 ;0;0;;
;6.5.19;Water Level Control (WLC) & Pengkabelan ;; Rp- ;0;0;;
;6.5.19.1;Pemasangan 1 buah Vent OutWLC & Pengkabelan;buha; Rp174.190,00 ;0;0;;
;6.5.20;Pressure Switch ;; Rp- ;0;0;;
;6.5.20.1;Pemasangan 1 buah Pressure Switch ;buah; Rp308.869,00 ;0;0;;
;6.5.21;Header Pipa PVC ;; Rp- ;0;0;;
;6.5.21.1;"Pemasangan 1 m Header Pipa PVC AW, Dia. 4"" ( 100 mm)";m'; Rp1.997.198,00 ;0;0;;
;6.5.22;Header Pipa Galvanis MED Class ;; Rp- ;0;0;;
;6.5.22.1;"Pemasangan 1 m Header Pipa Galvanis Medd Class, Dia. 4"" ( 100 mm)";m'; Rp8.887.367,00 ;0;0;;
;6.5.23;Header Pipa Black Steel (BS);; Rp- ;0;0;;
;6.5.23.1;"Pemasangan 1 m Header Pipa BS SCH 40, Dia. 8"" ( 200 mm)";m'; Rp5.917.021,00 ;0;0;;
;6.5.23.2;"Pemasangan 1 m Header Pipa BS SCH 40, Dia. 10"" ( 250 mm)";m'; Rp7.745.072,00 ;0;0;;
;6.5.24;Dop PVC ;; Rp- ;0;0;;
;6.5.24.1;"Pemasangan 1 buah DOP PVC dia. 3"" (80 mm)";buah; Rp32.059,00 ;0;0;;
;6.5.24.2;"Pemasangan 1 buah DOP PVC dia. 4"" (100 mm)";buah; Rp49.428,00 ;0;0;;
;6.5.24.3;"Pemasangan 1 buah DOP PVC dia. 6"" (150 mm)";buah; Rp73.870,00 ;0;0;;
;6.6;SISTEM AIR HUJAN ;;;;;;
;6.6.1 ;Sumur Resapan ;;;0;0;;
;6.6.1.1;Pembuatan 1 buah sumur Resapan Air Hujan diameter 80 cm, t=100 cm ;buah; Rp505.518,00 ;0;0;;
;7;JALAN PADA PEMUKIMAN;;;0; Rp- ;;
;7.1;JALAN PAVING BLOCK;;;0; Rp- ;;
;7.1.1;Pemasangan Paving Block ;; Rp- ;0; Rp- ;;
;7.1.1.1;Pemasangan 1 m2 Paving Block (Blok Beton) Natural Tebal 6 cm fc'20 Mpa dan Pengunci Uskup untuk Jalan Lingkungan (Jalan Lokal) Secara Manual ;m2; Rp146.808,00 ;0;0;;
;7.1.1.2;Pemasangan 1 m2 Paving Block (Blok Beton) Natural Tebal 6 cm fc'25 Mpa dan Pengunci Uskup untuk Jalan Lakses/Penghubug (Jalan Kolektor) Secara Manual ;m2; Rp160.668,00 ;0;0;;
;7.1.1.3;Pemasangan 1 m2 Paving Block (Blok Beton) Natural Tebal 6 cm fc'20 Mpa dan Pengunci Uskup untuk Jalan Lingkungan (Jalan Lokal) Secara semi mekanis ;m2; Rp131.174,00 ;0;0;;
;7.1.1.4;Pemasangan 1 m2 Paving Block (Blok Beton) Natural Tebal 6 cm fc'25 Mpa dan Pengunci Uskup untuk Jalan Lingkungan (Jalan Lokal) Secara semi mekanis ;m2; Rp145.034,00 ;0;0;;
;7.1.1.5;Pemasangan 1 m2 Paving Block (Blok Beton) Natural Tebal 8 cm fc'20 Mpa dan Pengunci Topi Uskup untuk Jalan Lingkungan (Jalan Lokal) Secara manual;m2; Rp179.123,00 ;0;0;;
;7.1.1.6;Pemasangan 1 m2 Paving Block (Blok Beton) Natural Tebal 8 cm fc'25 Mpa dan Pengunci Topi Uskup untuk Jalan akses/penghubung (Jalan kolektor) Secara manual;m2; Rp192.983,00 ;0;0;;
;7.1.1.7;Pemasangan 1 m2 Paving Block (Blok Beton) Natural Tebal 8 cm fc'20 Mpa dan Pengunci Topi Uskup untuk Jalan Lingkungan (Jalan Lokal) Secara semi mekanis ;m2; Rp175.796,00 ;0;0;;
;7.1.1.8;Pemasangan 1 m2 Paving Block (Blok Beton) Natural Tebal 8 cm fc'25 Mpa dan Pengunci Topi Uskup untuk Jalan Akses/Penghubung  (Jalan Kolektor) Secara semi mekanis ;m2; Rp177.776,00 ;0;0;;
;7.1.2;Pemasangan Kanstin;; Rp- ;0;0;;
;7.1.2.1;Pemasangan 1 m' Kanstin, Tebal 10x20x40 cm dengan kupingan untuk jalan Lingkungan (Jalan Lokal);m'; Rp86.226,00 ;0;0;;
;7.1.2.2;Pemasangan 1 m' Kanstin, Tebal 15x40x460 cm dengan kupingan untuk jalan Akses/penghubung (Jalan Kolektor);m'; Rp183.537,00 ;0;0;;
;7.1.2.3;Pemasangan 1 m' Kanstin, Tebal 10x20x40 cm tanpa kupingan untuk jalan Lingkungan (Jalan Lokal);m'; Rp84.339,00 ;0;0;;
;7.1.2.4;Pemasangan 1 m' Kanstin, Tebal 15x40x460 cm Tanpa kupingan untuk jalan Akses/penghubung (Jalan Kolektor);m'; Rp181.809,00 ;0;0;;
;7.2;JALAN BETON ;; Rp- ;0;0;;
;7.2.1;Pembuatan Beton Kurus ;; Rp- ;0;0;;
;7.2.1.1;1 m3 Beton Kurus fc 10 Mpa untuk Jalan Lingkungan (Jalan Lokal) Semi Mekanis ;m3; Rp1.790.224,00 ;0;0;;
;7.2.1.2;1 m3 Beton Kurus fc 10 Mpa untuk Jalan Akses/Penghubung (Jalan Kolektor) Semi Mekanis ;m3; Rp1.540.271,00 ;0;0;;
;7.2.1.3;1 m3 Beton Kurus fc 10 Mpa untuk JalanLingkungan (Jalan Lokal) Ready Mixed;m3; Rp1.537.293,00 ;0;0;;
;7.2.1.4;1 m3 Beton Kurus fc 10 Mpa untuk Jalan Akses / penghubung  (Jalan Kolektor) Ready Mixed;m3; Rp1.659.332,00 ;0;0;;
;7.2.2;Pembuatan Perkerasan Beton ;; Rp- ;0;0;;
;7.2.2.1;1 m3Perkerasan Beton Sc 3,5 Mpa (Setara Fc 25 Mpa) untuk Jalan Lingkungan (Jalan Lokal) Semi Mekanis ;m3; Rp1.991.015,00 ;0;0;;
;7.2.2.2;1 m3 Perkerasan Beton Sc 3,8 Mpa (Setara Fc 30 Mpa) untuk Jalan Akses/Penghubung (Jalan Kolektor) Semi Mekanis ;m3; Rp2.737.936,00 ;0;0;;
;7.2.2.3;1 m3 Perkerasan Beton Sc 3,5 Mpa (Setara Fc 25 Mpa) untuk Jalan Lingkungan (Jalan Lokal) Ready Mixed ;m3; Rp1.759.124,00 ;0;0;;
;7.2.2.4;1 m3 Perkerasan Beton Sc 3,8 Mpa (Setara Fc 30 Mpa) untuk Jalan Akses/Penghubung (Jalan Jalan Kolektor) Ready Mixed ;m3; Rp2.488.786,00 ;0;0;;
;7.3 ;Jalan Aspal ;; Rp- ;0;0;;
;7.3.1;1 Ton Pekerjaan Lapisan Antara (AC-BC);ton ; Rp1.572.465,00 ;0;0;;
;7.3.2;1 Ton Pekerjaan Lapisan Aus (AC-WC);ton ; Rp1.819.013,00 ;0;0;;
;8;DRAINASE;;;0;0;;
;8.1;Drainase U-Ditch ;;;0;0;;
;8.1.1;Saluran U-Ditch dengan Lantai Kerja 10 Mpa ;; Rp- ;0;0;;
;8.1.1.1;1 m' Saluran U-Ditch 30x30x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp445.551,00 ;0;0;;
;8.1.1.2;1 m Saluran U-Ditch 30x40x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp492.960,00 ;0;0;;
;8.1.1.3;1 m Saluran U-Ditch 40x40x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp561.216,00 ;0;0;;
;8.1.1.4;1 m Saluran U-Ditch 50x50x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp599.796,00 ;0;0;;
;8.1.1.5;1 m Saluran U-Ditch 40x60x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp639.480,00 ;0;0;;
;8.1.1.6;1 m Saluran U-Ditch 50x50x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp599.796,00 ;0;0;;
;8.1.1.7;1 m Saluran U-Ditch 50x60x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp807.549,00 ;0;0;;
;8.1.1.8;1 m Saluran U-Ditch 50x70x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp835.282,00 ;0;0;;
;8.1.1.9;1 m Saluran U-Ditch 60x60x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp898.014,00 ;0;0;;
;8.1.1.10;1 m Saluran U-Ditch 60x70x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp916.720,00 ;0;0;;
;8.1.1.11;1 m Saluran U-Ditch 60x80x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp948.715,00 ;0;0;;
;8.1.1.12;1 m Saluran U-Ditch 80x60x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp995.979,00 ;0;0;;
;8.1.1.13;1 m Saluran U-Ditch 80x80x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.115.410,00 ;0;0;;
;8.1.1.14;1 m Saluran U-Ditch 80x100x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.160.604,00 ;0;0;;
;8.1.1.15;1 m Saluran U-Ditch 100x100x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.224.461,00 ;0;0;;
;8.1.1.16;1 m Saluran U-Ditch 100x120x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.253.327,00 ;0;0;;
;8.1.1.17;1 m Saluran U-Ditch 120x120x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.373.106,00 ;0;0;;
;8.1.1.18;1 m Saluran U-Ditch 120x140x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.404.156,00 ;0;0;;
;8.1.1.19;1 m Saluran U-Ditch 140x140x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.546.088,00 ;0;0;;
;8.1.1.20;1 m Saluran U-Ditch 150x100x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.495.345,00 ;0;0;;
;8.1.1.21;1 m Saluran U-Ditch 150x150x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.606.240,00 ;0;0;;
;8.1.1.22;1 m Saluran U-Ditch 150x170x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.626.602,00 ;0;0;;
;8.1.1.23;1 m Saluran U-Ditch 160x160x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.672.105,00 ;0;0;;
;8.1.1.24;1 m Saluran U-Ditch 160x180x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.708.385,00 ;0;0;;
;8.1.1.25;1 m Saluran U-Ditch 180x180x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.761.896,00 ;0;0;;
;8.1.1.26;1 m Saluran U-Ditch 180x200x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.798.360,00 ;0;0;;
;8.1.1.27;1 m Saluran U-Ditch 200x200x120 cm dengan lantai kerja fc 10 Mpa ;m'; Rp1.970.532,00 ;0;0;;
;8.1.2;Saluran U-Ditch dengan Lantai Kerja 7,5 Mpa ;; Rp- ;0;0;;
;8.1.2.1;1 m Saluran U-Ditch 30x30x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp437.081,00 ;0;0;;
;8.1.2.2;1 m Saluran U-Ditch 30x40x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp484.490,00 ;0;0;;
;8.1.2.3;1 m Saluran U-Ditch 40x40x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp550.205,00 ;0;0;;
;8.1.2.4;1 m Saluran U-Ditch 40x50x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp588.785,00 ;0;0;;
;8.1.2.5;1 m Saluran U-Ditch 40x60x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp628.469,00 ;0;0;;
;8.1.2.6;1 m Saluran U-Ditch 50x50x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp672.159,00 ;0;0;;
;8.1.2.7;1 m Saluran U-Ditch 50x60x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp794.365,00 ;0;0;;
;8.1.2.8;1 m Saluran U-Ditch 50x70x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp821.899,00 ;0;0;;
;8.1.2.9;1 m Saluran U-Ditch 60x60x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp882.938,00 ;0;0;;
;8.1.2.10;1 m Saluran U-Ditch 60x70x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp901.643,00 ;0;0;;
;8.1.2.11;1 m Saluran U-Ditch 60x80x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp933.639,00 ;0;0;;
;8.1.2.12;1 m Saluran U-Ditch 80x60x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp977.345,00 ;0;0;;
;8.1.2.13;1 m Saluran U-Ditch 80x80x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.096.945,00 ;0;0;;
;8.1.2.14;1 m Saluran U-Ditch 80x100x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.142.140,00 ;0;0;;
;8.1.2.15;1 m Saluran U-Ditch 100x100x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.201.930,00 ;0;0;;
;8.1.2.16;1 m Saluran U-Ditch 100x120x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.230.797,00 ;0;0;;
;8.1.2.17;1 m Saluran U-Ditch 120x120x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.347.018,00 ;0;0;;
;8.1.2.18;1 m Saluran U-Ditch 120x140x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.378.069,00 ;0;0;;
;8.1.2.19;1 m Saluran U-Ditch 140x140x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.515.621,00 ;0;0;;
;8.1.2.20;1 m Saluran U-Ditch 150x100x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.462.820,00 ;0;0;;
;8.1.2.21;1 m Saluran U-Ditch 150x150x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.573.884,00 ;0;0;;
;8.1.2.22;1 m Saluran U-Ditch 150x170x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.594.247,00 ;0;0;;
;8.1.2.23;1 m Saluran U-Ditch 160x160x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.638.395,00 ;0;0;;
;8.1.2.24;1 m Saluran U-Ditch 160x180x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.675.013,00 ;0;0;;
;8.1.2.25;1 m Saluran U-Ditch 180x180x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.723.781,00 ;0;0;;
;8.1.2.26;1 m Saluran U-Ditch 180x200x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.760.245,00 ;0;0;;
;8.1.2.27;1 m Saluran U-Ditch 200x200x120 cm dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.912.089,00 ;0;0;;
;8.1.3;Tutup U-Ditch;; Rp- ;0;0;;
;8.1.3.1;1 m' Tutup U-Ditch 39x60x6 (Tipe LD) untuk 30x30x120 cm ;m'; Rp138.353,00 ;0;0;;
;8.1.3.2;1 m' Tutup U-Ditch 51x60x7 (Tipe LD) untuk 40x40x120 cm ;m'; Rp199.283,00 ;0;0;;
;8.1.3.3;1 m' Tutup U-Ditch 62x60x7,5 (Tipe LD) untuk 50x50x120 cm ;m'; Rp246.712,00 ;0;0;;
;8.1.3.4;1 m' Tutup U-Ditch 73x60x8 (Tipe LD) untuk 60x60x120 cm ;m'; Rp323.232,00 ;0;0;;
;8.1.3.5;1 m' Tutup U-Ditch 94x60x8 (Tipe LD) untuk 80x80x120 cm ;m'; Rp377.757,00 ;0;0;;
;8.1.3.6;1 m' Tutup U-Ditch 39x60x9 (Tipe HD) untuk 30x30x120 cm ;m'; Rp243.511,00 ;0;0;;
;8.1.3.7;1 m' Tutup U-Ditch 51x60x10 (Tipe HD) untuk 40x40x120 cm ;m'; Rp341.793,00 ;0;0;;
;8.1.3.8;1 m' Tutup U-Ditch 62x60x13 (Tipe HD) untuk 50x50x120 cm ;m'; Rp375.555,00 ;0;0;;
;8.1.3.9;1 m' Tutup U-Ditch 73x60x14 (Tipe HD) untuk 60x60x120 cm ;m'; Rp490.032,00 ;0;0;;
;8.1.3.10;1 m' Tutup U-Ditch 94x60x15 (Tipe HD) untuk 80x80x120 cm ;m'; Rp755.268,00 ;0;0;;
;8.1.3.11;1 m' Grill Penutup Saluran, Besi Siku+Plat Strip ;m'; Rp268.785,00 ;0;0;;
;8.2;Saluran Buis Beton;; Rp- ;0;0;;
;8.2.1;1 m' Buis Beton 1/2 D 30-100 cm ;m'; Rp124.192,00 ;0;0;;
;8.2.2;1 m' Buis Beton 1/2 D 40-100 cm ;m'; Rp151.919,00 ;0;0;;
;8.2.3;1 m' Buis Beton 1/2 D 50-100 cm ;m'; Rp162.309,00 ;0;0;;
;8.2.4;1 m' Buis Beton 1/2 D 60-100 cm ;m'; Rp210.202,00 ;0;0;;
;8.2.5;1 m' Buis Beton 1/2 D 80-100 cm ;m'; Rp432.014,00 ;0;0;;
;8.2.6;1 m' Buis Beton 1/2 D 100-100 cm ;m'; Rp540.611,00 ;0;0;;
;8.2.7;1 m' Buis Beton  D 30-100 cm ;m'; Rp117.369,00 ;0;0;;
;8.2.8;1 m' Buis Beton D 40-100 cm ;m'; Rp200.806,00 ;0;0;;
;8.2.9;1 m' Buis Beton D 50-100 cm ;m'; Rp222.806,00 ;0;0;;
;8.2.10;1 m' Buis Beton D 60-100 cm ;m'; Rp379.631,00 ;0;0;;
;8.2.11;1 m' Buis Beton D 80-100 cm ;m'; Rp696.858,00 ;0;0;;
;8.2.12;1 m' Buis Beton D 100-100 cm ;m'; Rp750.885,00 ;0;0;;
;8.3;Saluran Box Culvert ;; Rp- ;0;0;;
;8.3.1;Saluran Box Culvert  dengan lantai kerja 10 Mpa ;; Rp- ;0;0;;
;8.3.1.1;1 m' Box Culvert 40x40x100 dengan lantai kerja fc 10 Mpa ;m'; Rp1.216.485,00 ;0;0;;
;8.3.1.2;1 m' Box Culvert 50x50x100 dengan lantai kerja fc 10 Mpa ;m'; Rp1.773.008,00 ;0;0;;
;8.3.1.3;1 m' Box Culvert 60x60x100 dengan lantai kerja fc 10 Mpa ;m'; Rp2.248.234,00 ;0;0;;
;8.3.1.4;1 m' Box Culvert 80x80x100 dengan lantai kerja fc 10 Mpa ;m'; Rp3.615.744,00 ;0;0;;
;8.3.1.5;1 m' Box Culvert 100x100x100 dengan lantai kerja fc 10 Mpa ;m'; Rp4.452.025,00 ;0;0;;
;8.3.1. 6;1 m' Box Culvert 150x150x100 dengan lantai kerja fc 10 Mpa ;m'; Rp5.209.175,00 ;0;0;;
;8.3.1.7;1 m' Box Culvert 200x200x100 dengan lantai kerja fc 10 Mpa ;m'; Rp6.010.388,00 ;0;0;;
;8.3.1. 8;1 m' Box Culvert 300x300x100 dengan lantai kerja fc 10 Mpa ;m'; Rp7.019.480,00 ;0;0;;
;8.3.2;Saluran Box Culvert dengan lantai kerja 7,5 Mpa;; Rp- ;0;0;;
;8.3.2.1;1 m' Box Culvert 40x40x100 dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.435.394,00 ;0;0;;
;8.3.2.2;1 m' Box Culvert 50x50x100 dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.758.609,00 ;0;0;;
;8.3.2.3;1 m' Box Culvert 60x60x100 dengan lantai kerja fc 7,5 Mpa ;m'; Rp1.807.964,00 ;0;0;;
;8.3.2.4;1 m' Box Culvert 80x80x100 dengan lantai kerja fc 7,5 Mpa ;m'; Rp3.594.569,00 ;0;0;;
;8.3.2.5;1 m' Box Culvert 100x100x100 dengan lantai kerja fc 7,5 Mpa ;m'; Rp4.427.462,00 ;0;0;;
